Subject,Start Date,Start Time,End Time,Description,Location
Vector Calculus-LECT,03/16/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/23/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/30/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/06/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/13/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/20/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/27/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,05/04/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,01/21/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,01/28/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/04/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/11/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/18/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/25/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/04/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/11/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/18/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/25/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/01/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/08/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/15/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
